frame,t_s,x_m,y_m,vx_m_s,vy_m_s,ax_m_s2,ay_m_s2,radius_m
0.0,0.0,0.25,0.25,2.35,4.15,0.0,-9.81,0.055
1.0,0.05,0.3675,0.4452375,2.35,3.6595,0.0,-9.81,0.055
2.0,0.1,0.485,0.61595,2.35,3.169,0.0,-9.81,0.055
3.0,0.15,0.6024999999999999,0.7621375,2.35,2.6785,0.0,-9.81,0.055
4.0,0.2,0.72,0.8838,2.35,2.1879999999999997,0.0,-9.81,0.055
5.0,0.25,0.8375,0.9809375,2.35,1.6975,0.0,-9.81,0.055
6.0,0.3,0.955,1.05355,2.35,1.2069999999999999,0.0,-9.81,0.055
7.0,0.35,1.0725,1.1016374999999998,2.35,0.7164999999999997,0.0,-9.81,0.055
8.0,0.4,1.19,1.1252,2.35,0.22599999999999953,0.0,-9.81,0.055
9.0,0.45,1.3075,1.1242375,2.35,-0.2645000000000002,0.0,-9.81,0.055
10.0,0.5,1.425,1.09875,2.35,-0.7550000000000008,0.0,-9.81,0.055
11.0,0.55,1.5425,1.0487375,2.35,-1.2455000000000003,0.0,-9.81,0.055
12.0,0.6,1.66,0.9741999999999998,2.35,-1.7359999999999998,0.0,-9.81,0.055
13.0,0.65,1.7774999999999999,0.8751374999999999,2.35,-2.2265000000000006,0.0,-9.81,0.055
14.0,0.7,1.895,0.75155,2.35,-2.7169999999999996,0.0,-9.81,0.055
15.0,0.75,2.0125,0.6034375000000003,2.35,-3.2074999999999996,0.0,-9.81,0.055
16.0,0.8,2.13,0.4307999999999996,2.35,-3.6980000000000004,0.0,-9.81,0.055
17.0,0.85,2.2475,0.2336374999999995,2.35,-4.1885,0.0,-9.81,0.055
18.0,0.9,2.365,0.011949999999999572,2.35,-4.679,0.0,-9.81,0.055
